('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         771816 function calls (747944 primitive calls) in 3.879 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      297    2.222    0.007    2.222    0.007 {method 'read' of '_ssl._SSLSocket' objects}
     1047    0.574    0.001    0.574    0.001 {built-in method posix.stat}
      213    0.205    0.001    0.205    0.001 {built-in method io.open_code}
        1    0.089    0.089    0.089    0.089 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.084    0.084    0.084    0.084 {method 'connect' of '_socket.socket' objects}
        1    0.081    0.081    0.082    0.082 {built-in method _socket.getaddrinfo}
      213    0.066    0.000    0.066    0.000 {method 'read' of '_io.BufferedReader' objects}
      213    0.065    0.000    0.065    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.036    0.036    0.036    0.036 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
       26    0.028    0.001    0.028    0.001 {built-in method posix.listdir}
 4579/234    0.020    0.000    0.053    0.000 sre_parse.py:494(_parse)
     2708    0.016    0.000    0.093    0.000 parser.py:300(parse_starttag)
      213    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
    25106    0.015    0.000    0.015    0.000 {method 'match' of 're.Pattern' objects}
        2    0.013    0.006    0.158    0.079 parser.py:133(goahead)
     2724    0.012    0.000    0.013    0.000 __init__.py:732(string_container)
 5116/195    0.012    0.000    0.024    0.000 sre_compile.py:87(_compile)
      9/7    0.011    0.001    0.014    0.002 {built-in method _imp.create_dynamic}
      256    0.008    0.000    0.008    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2709    0.008    0.000    0.021    0.000 element.py:1618(__init__)
     2708    0.006    0.000    0.045    0.000 __init__.py:987(handle_starttag)
     2708    0.006    0.000    0.009    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     8157    0.006    0.000    0.006    0.000 element.py:376(setup)
     2708    0.006    0.000    0.053    0.000 _htmlparser.py:142(handle_starttag)
    20606    0.006    0.000    0.006    0.000 sre_parse.py:234(__next)
  718/714    0.006    0.000    0.047    0.000 {built-in method builtins.__build_class__}
      693    0.005    0.000    0.007    0.000 sre_compile.py:292(_optimize_charset)
    26315    0.005    0.000    0.007    0.000 sre_parse.py:165(__getitem__)
     5658    0.005    0.000    0.033    0.000 __init__.py:826(endData)
    303/1    0.005    0.000    3.879    3.879 {built-in method builtins.exec}
     3281    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x564a8176f9a0}
     2709    0.005    0.000    0.005    0.000 __init__.py:809(pushTag)
 5072/385    0.005    0.000    0.007    0.000 sre_parse.py:175(getwidth)
65946/59509    0.005    0.000    0.006    0.000 {built-in method builtins.len}
     2559    0.005    0.000    0.038    0.000 parser.py:385(parse_endtag)
    80801    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
57595/57575    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
    10799    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
      479    0.004    0.000    0.424    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
 1137/196    0.004    0.000    0.054    0.000 sre_parse.py:436(_parse_sub)
     2707    0.004    0.000    0.007    0.000 __init__.py:950(_popToTag)
     2724    0.004    0.000    0.009    0.000 __init__.py:867(object_was_parsed)
        2    0.003    0.002    0.003    0.002 {built-in method _codecs.utf_8_decode}
     8130    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    14387    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     1442    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
     6595    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.003    0.003    0.036    0.036 dammit.py:128(_populate_class_variables)
     2708    0.003    0.000    0.003    0.000 __init__.py:786(popTag)
    12900    0.002    0.000    0.006    0.000 sre_parse.py:255(get)
     2709    0.002    0.000    0.031    0.000 _htmlparser.py:204(handle_endtag)
6404/6372    0.002    0.000    0.013    0.000 typing.py:306(inner)
      258    0.002    0.000    2.244    0.009 http11.py:209(_receive_event)
        5    0.002    0.000    1.212    0.242 {method 'join' of 'bytes' objects}
    14415    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    20513    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     2708    0.002    0.000    0.007    0.000 parser.py:351(check_for_whole_start_tag)
     2724    0.002    0.000    0.005    0.000 element.py:1291(__new__)
     9931    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
     8013    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
      213    0.002    0.000    0.517    0.002 <frozen importlib._bootstrap_external>:950(get_code)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     1945    0.002    0.000    0.002    0.000 __init__.py:91(_replace_charref)
     4236    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
    11358    0.002    0.000    0.002    0.000 sre_parse.py:161(__len__)
     2191    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     2599    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    13743    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       24    0.002    0.000    0.004    0.000 enum.py:180(__new__)
      555    0.002    0.000    0.011    0.000 _connection.py:426(next_event)
     2599    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      261    0.002    0.000    0.461    0.002 <frozen importlib._bootstrap>:921(_find_spec)
  536/535    0.001    0.000    0.003    0.000 _readers.py:157(__call__)
     2707    0.001    0.000    0.029    0.000 __init__.py:1053(handle_endtag)
     6889    0.001    0.000    0.002    0.000 sre_parse.py:173(append)
      297    0.001    0.000    2.227    0.007 sync.py:124(read)
      863    0.001    0.000    0.002    0.000 contextlib.py:102(__init__)
     5676    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
     1751    0.001    0.000    0.003    0.000 filter.py:538(matches_tag)
      426    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      319    0.001    0.000    0.089    0.000 re.py:288(_compile)
     2396    0.001    0.000    0.002    0.000 typing.py:986(__setattr__)
5487/5486    0.001    0.000    0.005    0.000 {built-in method builtins.next}
    14173    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       44    0.001    0.000    0.007    0.000 filter.py:129(filter)
    14842    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
