('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         766505 function calls (742673 primitive calls) in 2.639 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    80443    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
65748/59351    0.005    0.000    0.006    0.000 {built-in method builtins.len}
57550/57530    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
    26281    0.005    0.000    0.007    0.000 sre_parse.py:165(__getitem__)
    24558    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
    20606    0.006    0.000    0.006    0.000 sre_parse.py:234(__next)
    20294    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    14462    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    14247    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    14063    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    13797    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
    13743    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    12900    0.002    0.000    0.006    0.000 sre_parse.py:255(get)
    11324    0.002    0.000    0.002    0.000 sre_parse.py:161(__len__)
    10575    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
     9931    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
     8775    0.001    0.000    0.001    0.000 typing.py:1737(cast)
     8101    0.006    0.000    0.006    0.000 element.py:376(setup)
     7962    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     7901    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     7624    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     7449    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6889    0.002    0.000    0.002    0.000 sre_parse.py:173(append)
     6595    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     6496    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
6348/6316    0.009    0.000    0.018    0.000 typing.py:306(inner)
     5722    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
     5676    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
     5546    0.005    0.000    0.030    0.000 __init__.py:826(endData)
5469/5468    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     5421    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
 5116/195    0.012    0.000    0.024    0.000 sre_compile.py:87(_compile)
 5072/385    0.005    0.000    0.007    0.000 sre_parse.py:175(getwidth)
 4579/234    0.020    0.000    0.052    0.000 sre_parse.py:494(_parse)
     4405    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
     4261    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     4227    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     3794    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3549    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
     3445    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     3428    0.001    0.000    0.005    0.000 filter.py:717(match)
     3281    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0x55c3fcbcf9a0}
     3049    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     2857    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2767    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2754    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2744    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
     2724    0.003    0.000    0.011    0.000 __init__.py:732(string_container)
     2724    0.003    0.000    0.009    0.000 __init__.py:867(object_was_parsed)
     2724    0.002    0.000    0.005    0.000 element.py:1291(__new__)
     2713    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     2703    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2653    0.002    0.000    0.022    0.000 _htmlparser.py:204(handle_endtag)
     2653    0.005    0.000    0.005    0.000 __init__.py:809(pushTag)
     2653    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2653    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
