('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         754775 function calls (730800 primitive calls) in 7.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      300    1.119    0.004    1.119    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      841    0.375    0.000    0.375    0.000 {built-in method posix.stat}
        1    0.127    0.127    0.127    0.127 {built-in method _socket.getaddrinfo}
      164    0.108    0.001    0.108    0.001 {built-in method io.open_code}
        1    0.094    0.094    0.094    0.094 {method 'connect' of '_socket.socket' objects}
        1    0.089    0.089    0.089    0.089 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      222    0.049    0.000    0.314    0.001 {method 'read' of '_io.BufferedReader' objects}
      164    0.038    0.000    0.038    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.035    0.035    0.035    0.035 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      164    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
 4761/200    0.023    0.000    0.061    0.000 sre_parse.py:494(_parse)
       17    0.018    0.001    0.018    0.001 {built-in method posix.listdir}
      9/7    0.018    0.002    0.022    0.003 {built-in method _imp.create_dynamic}
     2708    0.016    0.000    0.092    0.000 parser.py:300(parse_starttag)
    24984    0.015    0.000    0.015    0.000 {method 'match' of 're.Pattern' objects}
 5522/191    0.013    0.000    0.030    0.000 sre_compile.py:87(_compile)
        2    0.012    0.006    0.149    0.075 parser.py:133(goahead)
      903    0.008    0.000    0.010    0.000 sre_compile.py:292(_optimize_charset)
     2709    0.007    0.000    0.021    0.000 element.py:1618(__init__)
  572/569    0.007    0.000    0.052    0.000 {built-in method builtins.__build_class__}
    25523    0.007    0.000    0.007    0.000 sre_parse.py:234(__next)
     2708    0.007    0.000    0.010    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2708    0.006    0.000    0.045    0.000 __init__.py:987(handle_starttag)
     8157    0.006    0.000    0.006    0.000 element.py:376(setup)
       38    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     3130    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x559d548c09a0}
    29577    0.005    0.000    0.008    0.000 sre_parse.py:165(__getitem__)
     2708    0.005    0.000    0.052    0.000 _htmlparser.py:142(handle_starttag)
 5469/372    0.005    0.000    0.007    0.000 sre_parse.py:175(getwidth)
     5658    0.005    0.000    0.024    0.000 __init__.py:826(endData)
    85662    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
68803/62505    0.005    0.000    0.006    0.000 {built-in method builtins.len}
     2559    0.004    0.000    0.029    0.000 parser.py:385(parse_endtag)
 1272/192    0.004    0.000    0.062    0.000 sre_parse.py:436(_parse_sub)
        1    0.004    0.004    0.039    0.039 dammit.py:128(_populate_class_variables)
     2709    0.004    0.000    0.005    0.000 __init__.py:809(pushTag)
54324/54320    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
        9    0.004    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
    10799    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
     2724    0.003    0.000    0.009    0.000 __init__.py:867(object_was_parsed)
     2707    0.003    0.000    0.007    0.000 __init__.py:950(_popToTag)
     8120    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
      413    0.003    0.000    0.282    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
    16702    0.003    0.000    0.007    0.000 sre_parse.py:255(get)
    14113    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     1442    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
     2708    0.003    0.000    0.003    0.000 __init__.py:786(popTag)
     2709    0.003    0.000    0.022    0.000 _htmlparser.py:204(handle_endtag)
     2724    0.002    0.000    0.004    0.000 __init__.py:732(string_container)
    12252    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
     2724    0.002    0.000    0.006    0.000 element.py:1291(__new__)
        1    0.002    0.002    0.002    0.002 models.py:909(text)
6105/6083    0.002    0.000    0.007    0.000 typing.py:306(inner)
       17    0.002    0.000    0.002    0.000 {built-in method _imp.exec_builtin}
     2708    0.002    0.000    0.007    0.000 parser.py:351(check_for_whole_start_tag)
    13487    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     8015    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
    19559    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     1945    0.002    0.000    0.002    0.000 __init__.py:91(_replace_charref)
    12540    0.002    0.000    0.003    0.000 sre_parse.py:161(__len__)
    14682    0.002    0.000    0.002    0.000 {built-in method builtins.min}
